,region,region_coord
197,Tasmania,"(-42.035067, 146.6366887)"
198,Cariñena,"(41.3377248, -1.2248826)"
199,South Eastern Australia,"(-20.7103185, 139.4807372)"
200,Aglianico del Vulture,"(None, None)"
201,Green Valley,"(40.4074718, -89.6429794)"
202,Vin Santo del Chianti Classico,"(None, None)"
203,Trento,"(46.0664228, 11.1257601)"
204,Médoc,"(45.5576169, -0.5024229)"
205,Margaux,"(45.046232, -0.6728850937448874)"
206,Vino de la Tierra de Castilla,"(None, None)"
207,Rosso di Montalcino,"(43.0546099, 11.3622147)"
208,Nebbiolo d'Alba,"(44.7601912, 8.0090133)"
209,Spring Mountain District,"(53.7748716, -122.0098849)"
210,Priorat,"(41.2137983, 0.811623628426715)"
211,Bolgheri Superiore,"(None, None)"
212,Los Carneros,"(40.6378021, -3.4683776)"
213,Minervois,"(43.3126281, 2.6608686)"
214,Vista Flores,"(-33.6509493, -69.1555479)"
215,Lugana,"(45.4600534, 10.6196897)"
216,Primitivo di Manduria,"(None, None)"
217,Bardolino Classico,"(None, None)"
218,Amarone della Valpolicella Classico,"(None, None)"
219,Piave,"(46.1551313, 12.2517021)"
220,Dealu Mare,"(46.7202291, 23.1579285)"
221,Port,"(46.1635975, 5.5710285)"
222,Gaillac,"(43.9016766, 1.8967943)"
223,Sancerre,"(47.3307251, 2.8390333)"
224,Montravel,"(4.9119511, -52.2591469)"
225,Quincy,"(42.2528772, -71.0022705)"
226,Eola-Amity Hills,"(45.09857155, -123.12340730292848)"
227,Pouilly-Fumé,"(None, None)"
228,Coonawarra,"(-37.2909105, 140.8346628)"
229,Happy Canyon of Santa Barbara,"(None, None)"
230,Valdeorras,"(42.34834155, -6.965998212216206)"
231,Terre Siciliane,"(None, None)"
232,Walla Walla Valley (OR),"(45.9979808, -118.3989894)"
233,Niederösterreich,"(48.2817813, 15.7632457)"
234,Isonzo del Friuli,"(41.4627807, 12.904768)"
235,Rías Baixas,"(42.4024738, -8.8083575)"
236,Delle Venezie,"(45.34851865, 11.957179705362917)"
237,Monbazillac,"(44.795, 0.4925)"
238,Patrimonio,"(42.7007387, 9.3645244)"
239,Darling,"(35.2009655, -111.400385)"
240,Costières de Nîmes,"(43.8170759, 4.360587)"
241,Yolo County,"(38.7184542, -121.9059001)"
242,Cava,"(42.31658175, 1.6111496867672197)"
243,Rosso di Montepulciano,"(None, None)"
244,Gers,"(43.695527600000005, 0.4101019175237992)"
245,Crémant de Jura,"(None, None)"
246,Südoststeiermark,"(46.85967165, 15.850364747446001)"
247,Clare Valley,"(13.17834965, -61.25568443901387)"
248,Corinth,"(34.9343599, -88.5223353)"
249,Halkidiki,"(40.28948215, 23.409392443373925)"
250,Napa-Sonoma,"(38.540524149999996, -122.54835743348914)"
251,Bordeaux,"(44.841225, -0.5800364)"
252,Montagne-Saint-Émilion,"(44.9239804, -0.1798164)"
253,Robertson,"(31.0339058, -96.5079742)"
254,Pfalz,"(51.90263795, 10.424768531182796)"
255,Washington,"(38.8949924, -77.0365581)"
256,La Mancha,"(49.091895199999996, -1.2454370607545526)"
257,Contra Costa County,"(37.9034806, -121.9175345)"
258,Dan,"(34.4352469, 104.2694097)"
259,Michigan,"(43.6211955, -84.6824346)"
260,Uclés,"(39.9804328, -2.8615799)"
261,New York,"(40.7127281, -74.0060152)"
262,Mâcon-Villages,"(42.0664316, -83.8682746)"
263,Stags Leap District,"(None, None)"
264,Fair Play,"(37.6300394, -93.5732585)"
265,Penedès,"(41.2890327, 1.5934545)"
266,Salento,"(4.594612, -75.55556445605987)"
267,Sannio,"(14.3788321, 121.003335)"
